# solvent potential/V energy/eV
# RuO2-AEM 
-0.457	-1020.886	-0.384	-1031.359	-0.291	-1040.852	-0.225	-1036.036	-0.287	-1031.092
-0.193	-1020.68	-0.119	-1031.151	-0.026	-1040.645	0.04	-1035.829	-0.025	-1030.884
0.066	-1020.612	0.142	-1031.082	0.236	-1040.576	0.301	-1035.761	0.232	-1030.817
0.322	-1020.679	0.400	-1031.149	0.496	-1040.643	0.559	-1035.826	0.489	-1030.88
0.577	-1020.876	0.655	-1031.345	0.751	-1040.839	0.815	-1036.021	0.738	-1031.072
0.828	-1021.197	0.906	-1031.664	1.003	-1041.16	1.065	-1036.339	0.985	-1031.385
# 2Zn-AEM
-0.615	-1014.571	-0.545	-1024.971	-0.48	-1020.236	-0.591	-1029.278	-0.446	-1024.67
-0.341	-1014.214	-0.271	-1024.615	-0.209	-1019.883	-0.317	-1028.92	-0.178	-1024.319
-0.076	-1014.005	-0.005	-1024.405	0.055	-1019.676	-0.049	-1028.709	0.083	-1024.114
0.184	-1013.935	0.257	-1024.336	0.317	-1019.607	0.211	-1028.64	0.341	-1024.046
0.441	-1014.001	0.515	-1024.402	0.575	-1019.674	0.47	-1028.706	0.595	-1024.111
0.694	-1014.195	0.77	-1024.598	0.83	-1019.87	0.724	-1028.901	0.846	-1024.303
0.943	-1014.512	1.02	-1024.916	1.08	-1020.187	0.974	-1029.22	1.091	-1024.615
# 2Zn-LOM
-0.615	-1014.571	-0.545	-1024.971	-0.48	-1020.236	-0.658	-1007.152	-0.733	-1018.624
-0.341	-1014.214	-0.271	-1024.615	-0.209	-1019.883	-0.388	-1006.80	-0.459	-1018.269
-0.076	-1014.005	-0.005	-1024.405	0.055	-1019.676	-0.126	-1006.595	-0.193	-1018.062
0.184	-1013.935	0.257	-1024.336	0.317	-1019.607	0.13	-1006.527	0.066	-1017.993
0.441	-1014.001	0.515	-1024.402	0.575	-1019.674	0.383	-1006.592	0.323	-1018.059
0.694	-1014.195	0.77	-1024.598	0.83	-1019.87	0.632	-1006.785	0.576	-1018.255
0.943	-1014.512	1.02	-1024.916	1.08	-1020.187	0.877	-1007.099	0.825	-1018.574
# 2Zn-OPM-1
-0.615	-1014.571	-0.545	-1024.971	-0.48	-1020.236	-0.38	-1029.675	-0.446	-1024.67
-0.341	-1014.214	-0.271	-1024.615	-0.209	-1019.883	-0.107	-1029.32	-0.178	-1024.319
-0.076	-1014.005	-0.005	-1024.405	0.055	-1019.676	0.159	-1029.111	0.083	-1024.114
0.184	-1013.935	0.257	-1024.336	0.317	-1019.607	0.422	-1029.042	0.341	-1024.046
0.441	-1014.001	0.515	-1024.402	0.575	-1019.674	0.683	-1029.108	0.595	-1024.111
0.694	-1014.195	0.77	-1024.598	0.83	-1019.87	0.938	-1029.303	0.846	-1024.303
0.943	-1014.512	1.02	-1024.916	1.08	-1020.187	1.188	-1029.619	1.091	-1024.615
# 2Zn-OPM-2
-0.615	-1014.571	-0.545	-1024.971	-0.446	-1034.475	-0.38	-1029.675	-0.446	-1024.67
-0.341	-1014.214	-0.271	-1024.615	-0.174	-1034.119	-0.107	-1029.32	-0.178	-1024.319
-0.076	-1014.005	-0.005	-1024.405	0.092	-1033.912	0.159	-1029.111	0.083	-1024.114
0.184	-1013.935	0.257	-1024.336	0.354	-1033.843	0.422	-1029.042	0.341	-1024.046
0.441	-1014.001	0.515	-1024.402	0.614	-1033.91	0.683	-1029.108	0.595	-1024.111
0.694	-1014.195	0.77	-1024.598	0.87	-1034.106	0.938	-1029.303	0.846	-1024.303
0.943	-1014.512	1.02	-1024.916	1.122	-1034.427	1.188	-1029.619	1.091	-1024.615
# 3Zn-AEM
-0.523	-1007.292	-0.449	-1017.667	-0.389	-1012.946	-0.496	-1021.989	-0.359	-1017.332
-0.248	-1006.935	-0.174	-1017.308	-0.114	-1012.587	-0.22	-1021.63	-0.086	-1016.974
0.019	-1006.726	0.095	-1017.097	0.155	-1012.376	0.05	-1021.419	0.18	-1016.767
0.284	-1006.658	0.361	-1017.028	0.421	-1012.306	0.316	-1021.349	0.443	-1016.699
0.542	-1006.726	0.622	-1017.095	0.681	-1012.372	0.576	-1021.417	0.701	-1016.765
0.798	-1006.924	0.879	-1017.292	0.936	-1012.568	0.833	-1021.614	0.954	-1016.96
1.05	-1007.245	1.129	-1017.611	1.186	-1012.886	1.084	-1021.934	1.201	-1017.275
# 3Zn-LOM
-0.523	-1007.292	-0.449	-1017.667	-0.389	-1012.946	-0.589	-1000.071	-0.647	-1011.462
-0.248	-1006.935	-0.174	-1017.308	-0.114	-1012.587	-0.314	-999.706	-0.37	-1011.103
0.019	-1006.726	0.095	-1017.097	0.155	-1012.376	-0.047	-999.494	-0.102	-1010.894
0.284	-1006.658	0.361	-1017.028	0.421	-1012.306	0.215	-999.458	0.162	-1010.826
0.542	-1006.726	0.622	-1017.095	0.681	-1012.372	0.471	-999.495	0.422	-1010.893
0.798	-1006.924	0.879	-1017.292	0.936	-1012.568	0.72	-999.684	0.679	-1011.092
1.05	-1007.245	1.129	-1017.611	1.186	-1012.886	0.965	-1000.026	0.932	-1011.417
# 3Zn-OPM-1
-0.523	-1007.292	-0.449	-1017.667	-0.389	-1012.946	-0.299	-1022.297	-0.359	-1017.332
-0.248	-1006.935	-0.174	-1017.308	-0.114	-1012.587	-0.026	-1021.942	-0.086	-1016.974
0.019	-1006.726	0.095	-1017.097	0.155	-1012.376	0.244	-1021.73	0.18	-1016.767
0.284	-1006.658	0.361	-1017.028	0.421	-1012.306	0.508	-1021.661	0.443	-1016.699
0.542	-1006.726	0.622	-1017.095	0.681	-1012.372	0.768	-1021.727	0.701	-1016.765
0.798	-1006.924	0.879	-1017.292	0.936	-1012.568	1.022	-1021.921	0.954	-1016.96
1.05	-1007.245	1.129	-1017.611	1.186	-1012.886	1.272	-1022.24	1.201	-1017.275
# 3Zn-OPM-2
-0.523	-1007.292	-0.449	-1017.667	-0.346	-1027.169	-0.299	-1022.297	-0.359	-1017.332
-0.248	-1006.935	-0.174	-1017.308	-0.071	-1026.81	-0.026	-1021.942	-0.086	-1016.974
0.019	-1006.726	0.095	-1017.097	0.199	-1026.599	0.244	-1021.73	0.18	-1016.767
0.284	-1006.658	0.361	-1017.028	0.465	-1026.529	0.508	-1021.661	0.443	-1016.699
0.542	-1006.726	0.622	-1017.095	0.728	-1026.596	0.768	-1021.727	0.701	-1016.765
0.798	-1006.924	0.879	-1017.292	0.986	-1026.794	1.022	-1021.921	0.954	-1016.96
1.05	-1007.245	1.129	-1017.611	1.238	-1027.11	1.272	-1022.24	1.201	-1017.275
# 4Zn-AEM
-0.459	-1000.102	-0.387	-1010.241	-0.339	-1005.462	-0.445	-1014.547	-0.311	-1009.997
-0.181	-999.740	-0.111	-1009.88	-0.062	-1005.101	-0.168	-1014.186	-0.038	-1009.642
0.084	-999.557	0.161	-1009.667	0.209	-1004.888	0.103	-1013.974	0.228	-1009.453
0.355	-999.488	0.426	-1009.611	0.476	-1004.818	0.368	-1013.896	0.491	-1009.384
0.621	-999.556	0.689	-1009.671	0.739	-1004.885	0.635	-1013.971	0.75	-1009.449
0.884	-999.758	0.946	-1009.873	0.996	-1005.082	0.888	-1014.165	1.003	-1009.642
1.142	-1000.085	1.198	-1010.204	1.247	-1005.398	1.141	-1014.508	1.251	-1009.954
# 4Zn-LOM
-0.459	-1000.102	-0.387	-1010.241	-0.339	-1005.462	-0.487	-992.827	-0.578	-1004.273
-0.181	-999.74 	-0.111	-1009.88	-0.062	-1005.101	-0.212	-992.47 	-0.3	-1003.915
0.084	-999.557	0.161	-1009.667	0.209	-1004.888	0.056	-992.261	-0.028	-1003.703
0.355	-999.488	0.426	-1009.611	0.476	-1004.818	0.318	-992.193	0.24	-1003.634
0.621	-999.556	0.689	-1009.671	0.739	-1004.885	0.573	-992.259	0.504	-1003.702
0.884	-999.758	0.946	-1009.873	0.996	-1005.082	0.818	-992.448	0.764	-1003.904
1.142	-1000.085	1.198	-1010.204	1.247	-1005.398	0.993	-992.677	1.019	-1004.231
# 4Zn-OPM-1
-0.459	-1000.102	-0.387	-1010.241	-0.339	-1005.462	-0.273	-1014.659	-0.311	-1009.997
-0.181	-999.740	-0.111	-1009.88	-0.062	-1005.101	0.002	-1014.299	-0.038	-1009.642
0.084	-999.557	0.161	-1009.667	0.209	-1004.888	0.274	-1014.086	0.228	-1009.453
0.355	-999.488	0.426	-1009.611	0.476	-1004.818	0.541	-1014.016	0.491	-1009.384
0.621	-999.556	0.689	-1009.671	0.739	-1004.885	0.803	-1014.083	0.75	-1009.449
0.884	-999.758	0.946	-1009.873	0.996	-1005.082	1.061	-1014.28	1.003	-1009.642
1.142	-1000.085	1.198	-1010.204	1.247	-1005.398	1.314	-1014.60	1.251	-1009.954
# 4Zn-OPM-2
-0.459	-1000.102	-0.387	-1010.241	-0.296	-1019.573	-0.273	-1014.659	-0.311	-1009.997
-0.181	-999.740	-0.111	-1009.88	-0.018	-1019.212	0.002	-1014.299	-0.038	-1009.642
0.084	-999.557	0.161	-1009.667	0.253	-1018.999	0.274	-1014.086	0.228	-1009.453
0.355	-999.488	0.426	-1009.611	0.521	-1018.928	0.541	-1014.016	0.491	-1009.384
0.621	-999.556	0.689	-1009.671	0.784	-1018.995	0.803	-1014.083	0.75	-1009.449
0.884	-999.758	0.946	-1009.873	1.041	-1019.191	1.061	-1014.28	1.003	-1009.642
1.142	-1000.085	1.198	-1010.204	1.293	-1019.51	1.314	-1014.60	1.251	-1009.954
# 5Zn-AEM
-0.462	-992.524	-0.387	-1002.611	-0.344	-997.785	-0.45	-1006.937	-0.306	-1002.361
-0.181	-992.160	-0.11	-1002.25	-0.068	-997.425	-0.172	-1006.575	-0.034	-1002.01
0.095	-991.943	0.165	-1002.034	0.204	-997.211	0.10	-1006.36	0.234	-1001.81
