atoms energy
10Zn1-46 -2.18
10Zn2-9-43 -4.34
8Zn6-7-9-29-47-63-66 -12.46
3Zn6-25-29-47-48-61-62 -15.62
7Zn4-25-26-30-63 -12.07
2Zn3-26-27-30 -9.64
5Zn6-26-29-43-44-63-64 -16.25
Zn3-15-16-20 -6.48
3Zn3-26-27-64 -9.48
2Zn4-26-27-29-64 -12.2
3Zn5-25-29-47-61-62 -13.32
4Zn5-25-27-28-30-63 -14.5
8Zn6-28-29-43-44-61-66 -15.65
3Zn5-26-27-46-64-65 -13.93
9Zn4-10-11-46-47 -8.72
2Zn5-26-27-30-62-65 -14.37
5Zn5-11-12-25-46-61 -11.84
6Zn6-28-29-47-48-61-66 -16.02
1Zn6-25-26-27-28-64-66 -16.31
7Zn6-26-27-28-46-65-66 -16.61
1Zn2-25-26 -6.79
8Zn6-25-26-28-29-45-61 -16.52
8Zn5-7-12-27-44-66 -12.38
Zn5-2-12-21-22-24 -11.82
7Zn3-29-30-62 -9.26
7Zn6-25-26-27-43-63-64 -16.63
Zn4-3-9-14-20 -10.17
3Zn4-25-27-65-66 -10.99
5Zn6-7-9-43-62-64-65 -11.4
8Zn3-27-61-63 -6.98
2Zn3-25-27-30 -9.64
2Zn2-25-28 -6.95
3Zn5-26-28-46-65-66 -13.32
8Zn6-8-28-44-45-47-65 -13.87
1Zn5-25-26-27-28-63 -14.66
7Zn5-26-27-28-46-65 -14.34
8Zn6-27-29-44-61-64-66 -14.89
8Zn5-11-45-46-65-66 -11.78
Zn4-4-7-21-23 -10.01
4Zn5-11-12-27-28-62 -13.48
3Zn3-27-30-62 -9.48
8Zn6-26-27-29-44-61-64 -16.47
Zn2-12-16 -5.7
Zn5-8-11-17-21-24 -12.86
8Zn6-10-11-26-62-63-66 -13.82
7Zn4-27-29-30-62 -12.06
Zn6-7-8-9-10-13-19 -16.15
1Zn5-25-26-29-30-63 -14.66
Zn2-4-6 -2.76
6Zn6-25-28-30-47-62-63 -16.45
Zn2-4-5 -4.46
6Zn1-29 -3.5
2Zn6-25-28-29-61-63-66 -15.98
Zn6-13-17-18-19-20-21 -12.25
8Zn6-7-9-10-26-46-48 -12.26
Zn6-2-7-9-17-18-23 -14.56
9Zn4-8-10-12-46 -3.47
6Zn5-26-29-30-45-61 -14.14
6Zn5-26-29-45-46-65 -13.66
6Zn6-26-27-29-30-61-65 -16.19
Zn4-4-10-17-20 -10.01
7Zn2-28-29 -6.95
9Zn4-7-9-11-48 -4.05
Zn1-16 -2.18
10Zn1-8 -2.25
6Zn1-28 -3.5
8Zn3-43-45-61 -5.73
4Zn5-25-27-28-30-62 -14.5
Zn1-10 -3.5
8Zn2-45-47 -3.86
7Zn5-27-28-46-65-66 -14.04
8Zn2-8-45 -4.42
7Zn6-11-12-26-30-43-63 -14.58
10Zn1-9 -2.25
8Zn4-12-29-64-66 -10.28
4Zn3-25-26-30 -9.58
10Zn1-47 -2.18
4Zn6-25-28-29-30-63-66 -16.63
2Zn6-26-27-30-62-64-65 -15.98
2Zn5-26-27-29-61-64 -14.37
9Zn5-9-43-46-62-64 -10.5
7Zn6-27-28-45-46-65-66 -16.3
6Zn6-25-26-27-28-29-30 -16.31
5Zn4-26-27-44-63 -11.3
10Zn1-7 -2.25
8Zn6-11-12-28-43-64-65 -14.62
3Zn3-26-28-61 -8.79
9Zn6-7-9-11-44-63-66 -9.04
7Zn6-9-10-25-62-63-66 -15.07
4Zn6-7-8-29-30-47-48 -15.41
3Zn4-26-27-64-65 -11.93
5Zn5-28-29-45-46-65 -13.65
2Zn5-26-27-30-64-65 -14.37
5Zn6-25-30-43-44-63-64 -16.25
3Zn4-27-30-62-65 -11.93
Zn5-5-6-8-9-16 -13.36
5Zn5-11-12-27-28-64 -13.48
5Zn6-27-30-45-46-65-66 -16.25
7Zn6-25-26-29-30-43-63 -16.98
3Zn5-25-27-45-65-66 -13.32
8Zn5-9-10-25-61-64 -12.57
6Zn4-12-30-46-66 -9.95
8Zn5-10-28-43-47-63 -11.92
8Zn4-10-25-45-64 -10.22
8Zn6-26-43-46-47-64-65 -13.63
7Zn6-7-8-29-48-64-65 -14.35
Zn1-23 -2.44
6Zn6-27-28-29-30-61-66 -16.76
2Zn3-26-28-29 -9.64
8Zn3-8-12-64 -5.25
1Zn5-27-28-29-30-65 -14.66
4Zn4-25-27-30-62 -12.2
1Zn4-25-26-27-28 -12.43
2Zn3-26-27-29 -9.64
Zn2-2-24 -4.73
7Zn6-9-10-25-61-62-66 -14.8
5Zn4-7-28-45-66 -10.3
6Zn1-25 -3.5
6Zn5-26-27-45-46-65 -14.04
5Zn5-25-28-45-65-66 -13.93
3Zn3-25-30-63 -9.48
7Zn3-25-29-48 -8.53
Zn3-4-5-13 -6.59
2Zn2-26-29 -6.95
2Zn4-26-28-29-61 -12.2
4Zn1-29 -3.5
7Zn5-27-28-45-65-66 -14.04
4Zn3-28-29-30 -9.58
3Zn6-26-30-47-48-61-62 -15.62
5Zn6-26-27-45-46-65-66 -16.25
8Zn6-7-10-26-46-47-48 -13.97
5Zn2-7-8 -4.47
3Zn4-26-30-61-62 -11.0
5Zn5-11-12-27-28-63 -13.48
3Zn6-27-29-47-48-61-62 -15.62
7Zn6-25-26-43-44-63-64 -16.3
1Zn3-26-27-28 -9.58
8Zn6-12-25-26-45-48-64 -15.49
Zn6-3-12-13-14-21-22 -14.87
2Zn2-26-27 -6.95
1Zn6-27-28-29-30-61-65 -16.32
5Zn6-26-27-43-44-63-64 -16.25
2Zn6-25-27-30-62-63-65 -15.98
6Zn6-27-28-30-45-47-66 -15.55
10Zn1-45 -2.18
8Zn6-8-25-30-44-63-64 -16.07
7Zn6-11-27-30-45-62-63 -15.43
7Zn4-25-26-43-63 -11.5
8Zn6-10-26-29-45-47-63 -14.54
8Zn4-7-25-46-62 -10.16
Zn3-3-13-15 -5.96
7Zn3-25-26-63 -9.26
8Zn5-43-48-61-63-65 -9.53
1Zn4-25-26-29-30 -12.43
3Zn2-26-28 -6.28
4Zn5-25-26-28-29-66 -14.5
Zn1-12 -3.5
5Zn6-25-28-43-44-63-66 -16.02
1Zn5-25-26-29-30-64 -14.66
3Zn4-27-29-61-62 -11.0
3Zn1-25 -3.5
Zn1-5 -2.25
1Zn5-25-26-27-28-65 -14.66
6Zn3-27-47-61 -7.85
3Zn2-28-30 -6.3
3Zn5-28-30-47-61-62 -13.32
9Zn6-7-8-9-10-62-63 -10.69
8Zn2-10-48 -4.37
Zn6-2-4-7-22-23-24 -12.86
7Zn6-27-28-30-46-65-66 -16.61
8Zn5-25-28-47-48-63 -13.62
